Company,Location,Laid Off,Date,Industory,Source
Meta,SF Bay Area,11000,2022/11/9,Consumer,https://www.cnbc.com/2022/11/09/meta-to-lay-off-more-than-11000-thousand-employees.html
Meta,SF Bay Area,10000,2024/3/14,Consumer,https://about.fb.com/news/2023/03/mark-zuckerberg-meta-year-of-efficiency/
