Company,Location,Laid Off,Date,Industory,Source
Google,SF Bay Area,12000,2023/1/20,Consumer,https://www.nytimes.com/2023/01/20/business/google-alphabet-layoffs.html
Google,,75,2023/9/13,Consumer,https://www.eastbaytimes.com/2023/10/31/google-tech-job-cut-layoff-bay-area-economy-office-lease-alphabet/
Google,,40,2023/10/18,Consumer,https://www.cnbc.com/2023/10/18/google-cuts-dozens-of-jobs-in-news-division-.html
Google,,1000,2024/1/10,Consumer,https://www.theverge.com/2024/1/11/24034124/google-layoffs-engineering-assistant-hardware
,,,,,
,,,,,
,,,,,
