Company,Location,Laid Off,Date,Industory,Source
Amazon,Seattle,10000,2022/11/16,Retail,https://www.nytimes.com/2022/11/14/technology/amazon-layoffs.html
Amazon,Seattle,8000,2023/1/4,Retail,https://www.wsj.com/articles/amazon-to-lay-off-over-17-000-workers-more-than-first-planned-11672874304
Amazon,Seattle,150,2022/10/28,Retail,https://www.geekwire.com/2022/amazon-makes-staff-cuts-at-amp-the-app-it-launched-this-year-to-reimagine-radio/
Amazon,Seattle,9000,2023/3/20,Retail,https://www.cnbc.com/2023/03/20/amazon-layoffs-company-to-cut-off-9000-more-workers.html
Amazon,Seattle,80,2023/7/13,Retail,https://news.yahoo.com/amazon-lays-off-80-workers-230451163.html?guccounter=1
Amazon,Seattle,180,2023/11/13,Retail,https://www.cnbc.com/2023/11/13/amazon-cuts-more-than-180-jobs-in-gaming-division.html
Amazon,Seattle,30,2024/1/18,Retail,https://www.cnbc.com/2024/01/18/-amazon-layoffs-hit-its-buy-with-prime-unit.html
Amazon,Seattle,400,2024/2/6,Retail,https://www.businessinsider.com/amazon-one-medical-pharmacy-layoffs-broader-cost-cutting-campaign-2024-2
