Date,Open,High,Low,Close*,Adj Close**,Volume
"Feb 5, 2021",0.21 Dividend,,,,,
"Feb 1, 2021",133.75,137.88,118.39,121.26,119.00,"1,833,855,600"
"Jan 1, 2021",133.52,145.09,126.38,131.96,129.50,"2,240,262,000"
"Dec 1, 2020",121.01,138.79,120.01,132.69,130.22,"2,322,189,600"
"Nov 6, 2020",0.21 Dividend,,,,,
"Nov 1, 2020",109.11,121.99,107.32,119.05,116.63,"2,123,077,300"
"Oct 1, 2020",117.64,125.39,107.72,108.86,106.65,"2,894,666,500"
"Sep 1, 2020",132.76,137.98,103.10,115.81,113.46,"3,885,245,100"
"Aug 31, 2020",4:1 Stock Splits,,,,,
"Aug 1, 2020",108.20,131.00,107.89,129.04,126.19,"4,070,061,100"
"Aug 7, 2020",0.21 Dividend,,,,,
"Jul 1, 2020",91.28,106.42,89.14,106.26,103.92,"3,020,283,200"
"Jun 1, 2020",79.44,93.10,79.30,91.20,89.19,"3,243,375,600"
"May 8, 2020",0.21 Dividend,,,,,
"May 1, 2020",71.56,81.06,71.46,79.49,77.52,"2,805,936,000"
"Apr 1, 2020",61.63,73.63,59.22,73.45,71.64,"3,265,299,200"
"Mar 1, 2020",70.57,76.00,53.15,63.57,62.00,"6,280,072,400"
"Feb 7, 2020",0.19 Dividend,,,,,
"Feb 1, 2020",76.07,81.81,64.09,68.34,66.49,"3,019,279,200"
"Jan 1, 2020",74.06,81.96,73.19,77.38,75.29,"2,934,370,400"
"Dec 1, 2019",66.82,73.49,64.07,73.41,71.43,"2,388,794,800"
"Nov 7, 2019",0.19 Dividend,,,,,
"Nov 1, 2019",62.38,67.00,62.29,66.81,64.81,"1,793,326,000"
"Oct 1, 2019",56.27,62.44,53.78,62.19,60.33,"2,433,210,800"
"Sep 1, 2019",51.61,56.60,51.06,55.99,54.32,"2,170,268,400"
"Aug 9, 2019",0.19 Dividend,,,,,
"Aug 1, 2019",53.47,54.51,48.15,52.19,50.43,"2,724,326,400"
"Jul 1, 2019",50.79,55.34,49.60,53.26,51.47,"1,895,406,800"
"Jun 1, 2019",43.90,50.39,42.57,49.48,47.82,"2,060,874,800"
"May 10, 2019",0.19 Dividend,,,,,
"May 1, 2019",52.47,53.83,43.75,43.77,42.13,"2,957,826,400"
"Apr 1, 2019",47.91,52.12,47.10,50.17,48.30,"2,024,470,800"
"Mar 1, 2019",43.57,49.42,42.38,47.49,45.72,"2,603,925,600"
"Feb 8, 2019",0.18 Dividend,,,,,
"Feb 1, 2019",41.74,43.97,41.48,43.29,41.49,"1,890,162,400"
"Jan 1, 2019",38.72,42.25,35.50,41.61,39.89,"3,312,349,600"
