,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Capital Expenditure,Interest Paid Supplemental Data,Income Tax Paid Supplemental Data,End Cash Position,Beginning Cash Position,Effect Of Exchange Rate Changes,Changes In Cash,Financing Cash Flow,Cash Flow From Continuing Financing Activities,Net Other Financing Charges,Net Common Stock Issuance,Common Stock Payments,Net Issuance Payments Of Debt,Net Short Term Debt Issuance,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Cash Flow From Continuing Investing Activities,Net Other Investing Changes,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net Business Purchase And Sale,Purchase Of Business,Net PPE Purchase And Sale,Sale Of PPE,Purchase Of PPE,Operating Cash Flow,Cash Flow From Continuing Operating Activities,Change In Working Capital,Change In Other Working Capital,Change In Other Current Liabilities,Change In Other Current Assets,Change In Payables And Accrued Expense,Change In Accrued Expense,Change In Payable,Change In Account Payable,Change In Prepaid Assets,Change In Receivables,Changes In Account Receivables,Other Non Cash Items,Stock Based Compensation,Unrealized Gain Loss On Investment Securities,Asset Impairment Charge,Deferred Tax,Deferred Income Tax,Depreciation Amortization Depletion,Depreciation And Amortization,Net Income From Continuing Operations
2023-12-31,43847000000.0,-19774000000.0,-1058000000.0,8455000000.0,-27266000000.0,448000000.0,6607000000.0,42827000000.0,15596000000.0,113000000.0,27118000000.0,-19500000000.0,-19500000000.0,-7123000000.0,-19774000000.0,-19774000000.0,7397000000.0,,7397000000.0,-1058000000.0,8455000000.0,-24495000000.0,-24495000000.0,-23000000.0,3202000000.0,6184000000.0,-2982000000.0,-629000000.0,-629000000.0,-27045000000.0,221000000.0,-27266000000.0,71113000000.0,71113000000.0,3836000000.0,,624000000.0,-80000000.0,5132000000.0,5352000000.0,-220000000.0,51000000.0,559000000.0,-2399000000.0,-2399000000.0,411000000.0,14027000000.0,,2432000000.0,131000000.0,131000000.0,11178000000.0,11178000000.0,39098000000.0
2022-12-31,19044000000.0,-27956000000.0,-850000000.0,9921000000.0,-31431000000.0,0.0,6407000000.0,15596000000.0,16865000000.0,-638000000.0,-631000000.0,-22136000000.0,-22136000000.0,-3251000000.0,-27956000000.0,-27956000000.0,9071000000.0,,9071000000.0,-850000000.0,9921000000.0,-28970000000.0,-28970000000.0,-4000000.0,3532000000.0,13158000000.0,-9626000000.0,-1312000000.0,-1312000000.0,-31186000000.0,245000000.0,-31431000000.0,50475000000.0,50475000000.0,5683000000.0,,886000000.0,-106000000.0,4510000000.0,4210000000.0,300000000.0,210000000.0,162000000.0,231000000.0,231000000.0,1982000000.0,11992000000.0,463000000.0,2218000000.0,-3286000000.0,-3286000000.0,8686000000.0,8686000000.0,23200000000.0
2021-12-31,38993000000.0,-44537000000.0,-677000000.0,0.0,-18690000000.0,0.0,8525000000.0,16865000000.0,17954000000.0,-474000000.0,-615000000.0,-50728000000.0,-50728000000.0,-5514000000.0,-44537000000.0,-44537000000.0,-677000000.0,14000000.0,-677000000.0,-677000000.0,0.0,-7570000000.0,-7570000000.0,-331000000.0,12179000000.0,42586000000.0,-30407000000.0,-851000000.0,-851000000.0,-18567000000.0,123000000.0,-18690000000.0,57683000000.0,57683000000.0,700000000.0,187000000.0,941000000.0,-349000000.0,4968000000.0,3544000000.0,1424000000.0,1436000000.0,-1750000000.0,-3110000000.0,-3110000000.0,-127000000.0,9164000000.0,-232000000.0,0.0,609000000.0,609000000.0,7967000000.0,7967000000.0,39370000000.0
2020-12-31,23584000000.0,-6272000000.0,-604000000.0,0.0,-15163000000.0,,4229000000.0,17954000000.0,19279000000.0,279000000.0,-1604000000.0,-10292000000.0,-10292000000.0,-3416000000.0,-6272000000.0,-6272000000.0,-604000000.0,24000000.0,-604000000.0,-604000000.0,0.0,-30059000000.0,-30059000000.0,-36000000.0,-14520000000.0,25771000000.0,-40291000000.0,-388000000.0,-388000000.0,-15115000000.0,48000000.0,-15163000000.0,38747000000.0,38747000000.0,-2723000000.0,108000000.0,-527000000.0,-34000000.0,-785000000.0,-946000000.0,161000000.0,-17000000.0,135000000.0,-1512000000.0,-1512000000.0,85000000.0,6536000000.0,33000000.0,0.0,-1192000000.0,-1192000000.0,6862000000.0,6862000000.0,29146000000.0
